Id;IdTactic;NumFormation;NumPlayer;Position;LocationX;LocationY;A;B
1;6898;0;0;0;3;52;0;0
2;6898;0;1;1;11;52;0;0
3;6898;0;2;1;11;72;0;0
4;6898;0;3;1;11;32;0;0
5;6898;0;4;3;15;88;0;0
6;6898;0;5;2;15;16;0;0
7;6898;0;6;4;25;52;0;0
8;6898;0;7;5;25;76;0;0
9;6898;0;8;5;25;28;0;0
10;6898;0;9;12;43;68;0;0
11;6898;0;10;12;43;36;0;0
12;6898;1;0;0;3;52;0;0
13;6898;1;1;1;11;52;0;0
14;6898;1;2;1;11;72;0;0
15;6898;1;3;1;11;32;0;0
16;6898;1;4;3;15;88;0;0
17;6898;1;5;2;15;16;0;0
18;6898;1;6;4;25;52;0;0
19;6898;1;7;5;25;76;0;0
20;6898;1;8;5;25;28;0;0
21;6898;1;9;12;43;68;0;0
22;6898;1;10;12;43;36;0;0
23;6898;2;0;0;3;52;0;0
24;6898;2;1;1;11;52;0;0
25;6898;2;2;1;11;72;0;0
26;6898;2;3;1;11;32;0;0
27;6898;2;4;3;15;88;0;0
28;6898;2;5;2;15;16;0;0
29;6898;2;6;4;25;52;0;0
30;6898;2;7;5;25;76;0;0
31;6898;2;8;5;25;28;0;0
32;6898;2;9;12;43;68;0;0
33;6898;2;10;12;43;36;0;0
34;6899;0;0;0;3;52;0;0
35;6899;0;1;1;11;52;0;0
36;6899;0;2;1;11;72;0;0
37;6899;0;3;1;11;32;0;0
38;6899;0;4;3;15;88;0;0
39;6899;0;5;2;15;16;0;0
40;6899;0;6;4;25;52;0;0
41;6899;0;7;5;25;76;0;0
42;6899;0;8;5;25;28;0;0
43;6899;0;9;12;43;68;0;0
44;6899;0;10;12;43;36;0;0
45;6899;1;0;0;3;52;0;0
46;6899;1;1;1;11;52;0;0
47;6899;1;2;1;11;72;0;0
48;6899;1;3;1;11;32;0;0
49;6899;1;4;3;15;88;0;0
50;6899;1;5;2;15;16;0;0
51;6899;1;6;4;25;52;0;0
52;6899;1;7;5;25;76;0;0
53;6899;1;8;5;25;28;0;0
54;6899;1;9;12;43;68;0;0
55;6899;1;10;12;43;36;0;0
56;6899;2;0;0;3;52;0;0
57;6899;2;1;1;11;52;0;0
58;6899;2;2;1;11;72;0;0
