Id;IdPlayer;IdTeam;ShirtNumber;Position;Captain;Short Free Kick;Long Free Kick;Right Corner;Left Corner;Penalty;Value1
3344353;118412;1;17;9;False;False;False;False;False;False;0
3344354;114022;1;16;11;False;False;False;False;False;False;0
3344355;118411;1;22;19;False;False;False;False;False;False;0
3344356;40701;1;4;1;False;False;False;False;False;False;0
3344357;47375;1;18;2;False;False;False;False;False;False;0
3344358;38790;1;5;13;False;False;False;False;False;False;0
3344359;100292;1;15;14;False;False;False;False;False;False;0
3344360;61081;1;12;7;False;False;False;False;False;False;0
3344361;34626;1;9;10;False;False;False;False;False;False;0
3344362;130414;1;21;22;False;False;False;False;False;False;0
3344363;101102;1;13;5;False;False;False;False;False;False;0
3344364;112973;1;14;6;False;True;True;True;True;True;0
3344365;101777;1;20;17;False;False;False;False;False;False;0
3344366;106435;1;8;18;False;False;False;False;False;False;0
3344367;5434;1;6;16;False;False;False;False;False;False;0
3344368;101265;1;23;0;False;False;False;False;False;False;0
3344369;126908;1;1;12;False;False;False;False;False;False;0
3344370;45124;1;11;8;False;False;False;False;False;False;0
3344371;59767;1;10;20;False;False;False;False;False;False;0
3344372;45439;1;3;4;False;False;False;False;False;False;0
3344373;47645;1;19;21;False;False;False;False;False;False;0
3344374;40283;1;2;3;True;False;False;False;False;False;0
3344375;43166;1;7;15;False;False;False;False;False;False;0
3358427;110698;2;1;0;False;False;False;False;False;False;0
3358428;42808;2;20;1;False;False;False;False;False;False;0
3358429;35505;2;5;2;False;False;False;False;False;False;0
3358430;101761;2;14;3;False;False;False;False;False;False;0
3358431;118225;2;3;4;False;False;False;False;False;False;0
3358432;101764;2;6;5;False;False;False;False;False;False;0
3358433;104668;2;17;6;False;False;False;False;False;False;0
3358434;7946;2;8;7;True;True;True;True;True;True;0
3358435;39206;2;7;8;False;False;False;False;False;False;0
3358436;121485;2;19;9;False;False;False;False;False;False;0
3358437;35508;2;10;10;False;False;False;False;False;False;0
3358438;59897;2;12;11;False;False;False;False;False;False;0
3358439;121423;2;23;12;False;False;False;False;False;False;0
3358440;130362;2;22;13;False;False;False;False;False;False;0
3358441;101087;2;2;14;False;False;False;False;False;False;0
3358442;112193;2;4;15;False;False;False;False;False;False;0
3358443;43054;2;13;16;False;False;False;False;False;False;0
3358444;124468;2;15;17;False;False;False;False;False;False;0
3358445;42657;2;11;18;False;False;False;False;False;False;0
3358446;47385;2;18;19;False;False;False;False;False;False;0
3358447;101091;2;21;20;False;False;False;False;False;False;0
3358448;111118;2;16;21;False;False;False;False;False;False;0
3358449;112194;2;9;22;False;False;False;False;False;False;0
3340926;121480;3;2;4;False;False;False;False;False;False;0
3340927;121439;3;15;1;False;False;False;False;False;False;0
3340928;124458;3;5;14;False;False;False;False;False;False;0
3340929;38362;3;16;13;False;False;False;False;False;False;0
3340930;114182;3;19;9;False;False;False;False;False;False;0
3340931;116605;3;4;2;False;False;False;False;False;False;0
3340932;103559;3;10;7;False;True;True;True;True;True;0
3340933;112070;3;7;8;False;False;False;False;False;False;0
3340934;115231;3;23;16;False;False;False;False;False;False;0
3340935;121434;3;8;6;False;False;False;False;False;False;0
3340936;59895;3;1;0;False;False;False;False;False;False;0
3340937;112747;3;12;12;False;False;False;False;False;False;0
3340938;9534;3;21;11;False;False;False;False;False;False;0
